Site_name,Latitude,Longitude
Alcantara Lake,60.91243,-108.26043
Allan Lake,62.93262,-113.05068
Big Lake,64.80319,-112.920543
Big Spruce Lake,63.512,-116.00583
Bluefish Hydro,62.67783,-114.2525
Boundary Lake,59.49077,-115.54748
Caribou Creek,68.04639,-133.48944
Castor Lake,64.51564,-115.989337
Christison Lake,64.64979,-114.155174
Deline,65.19282433,-123.4280942
Denis Lake,63.35412,-112.64337
Dunvegan Lake,60.16692,-107.29118
Dymond Lake,61.39632,-106.2776
Fort Good Hope,66.26963649,-128.6129009
Fort Simpson,61.80465,-121.32612
Fort Smith,60.00227,-111.91423
Ghost Lake,63.87814,-115.073673
Gray Lake,61.85075,-108.35235
Halliday Lake,61.37508,-109.0272
Hay River,60.83917,-115.83915
Hill Island Lake,60.51152,-109.78598
Hook Lake,60.66638,-112.7831
Indin Lake,64.37836,-115.026949
IT64NW,62.51354998,-113.3972
IT64SE,62.51238196,-113.392803
Kakisa River,60.99667,-117.27048
Little Buffalo Tower,60.99243,-113.79048
Little Latham Lake,63.20888,-113.6469
Mattberry Lake,64.08953,-115.955609
Mesa Lake,64.8451,-115.1378271
Nardin Lake,63.5235,-113.799
Nonacho Lake,61.7338,-109.66118
Norman Wells,65.28018908,-126.7581128
Nyarling River,60.34258,-114.16995
Piers Lake,60.32075,-111.1372
Pine Point,60.82393,-114.46232
Pocket Lake,62.51,-114.371756
Rengleng River,67.63833,-133.83194
Sharples Lake,63.89505,-112.81402
Snare Lake,64.20356,-114.040142
Swede Creek,60.27443,-116.5554
Thekulthili Lake,60.96292,-110.22782
Thubun Lake,61.50075,-111.76345
Tibbitt Lake_m,62.5544,-113.340174
Tortuous Lake,60.75388,-111.70178
Tulita,64.90264579,-125.526701
Whirlwind Lake,60.24245,-108.68615
White Wolf Lake,65.00454,-114.10541
Winter Lake,64.49806,-113.029303
